Refran	Significado	Uso
Bien predica quien bien vive	Las buenas obras y una conducta intachable valen más que el mejor sermón porque cualquiera puede darse cuenta de que esa persona hace lo que recomienda, los contenidos se transmiten mejor cuando el sujeto que los comunica los vive. La evidencia tiene más poder de persuasión que la mayor doctrina y elocuencia.	Poco usado
Bodas hacen bodas	Cuando se celebra una boda, acude gente muy diversa, lo que propicia en ocasiones que se conozcan personas que, a su vez, acabarán casándose.	Poco usado
Cada cosa a su tiempo	Se debe realizar cada acto en el momento más oportuno o favorable. En ocasiones, el efecto que se quiere lograr diciéndolo es frenar a los impacientes, atrevidos o inoportunos.	Poco usado
Cada cosa en su sitio, y un sitio para cada cosa	Alaba la ventaja del orden en todas las cosas.	Poco usado
Cada uno en su casa, y Dios en la de todos	Conviene que la familia, entendida en un sentido amplio, disponga del espacio suficiente para tener cada cual su intimidad y, de ese modo, disensiones.	Poco usado
Cada uno habla de la feria como le va en ella	Por lo general, hablamos de las cosas según el daño o el provecho que hemos obtenido de ellas.	Poco usado
Cada uno lleva su cruz	Resulta muy difícil librarse de las penalidades, pues, en mayor o menor medida, todos las pasamos.	Poco usado
Cada uno sabe dónde le aprieta el zapato	Uno mismo, el interesado, es la persona más adecuada para saber lo que le puede hacer daño o molestar.	Poco usado
Casa con dos puertas, mala es de guardar	Este refrán se emplea en sentido recto, para indicar la dificultad que supone cuidar de una casa que tiene varios accesos.	Poco usado
Cena poco, come más, duerme en alto y vivirás	Este refrán presenta tres preceptos para gozar de buena salud.	Poco usado
Como siembres, recogerás	Da a entender que los resultados corresponden a las obras realizadas.	Poco usado
Con estos mimbres no se puede hacer más que este cesto	Da a entender que algo no da más de sí.	Poco usado
Conócete a ti mismo	Recomienda cuidarse de averiguar la condición, defectos y cualidades de uno mismo.	Poco usado
Con pan y vino se anda el camino	Para soportar las fatigas del camino, son necesarias una alimentación y una bebida adecuadas. Contando con lo básico para estar alimentado, se puede emprender viaje. En un sentido amplio se aplica al trabajo, pues el refrán enseña que, para hacer un buen trabajo, se debe contar con los medios adecuados. Si se pasa hambre, mal se puede trabajar. Alude también a la conveniencia de cuidar del sustento de quienes trabajan, para que cumplan satisfactoriamente sus obligaciones.	Poco usado
Consejos vendo y para mí no tengo	Este refrán recrimina a quien da consejos a los demás, pero no los toman para sí o no sabe resolver sus propios problemas.	Poco usado
Contigo, pan y cebolla	Cuando se quiere a alguien de verdad, se está dispuesto a vivir con él no sólo en época de felicidad sino también cuando sobreviene la desgracia.	Poco usado
Contra el vicio de pedir, la virtud de no dar	Se emplea para rechazar una petición.	Poco usado
Costurera sin dedal, cose poco y cose mal	Este refrán critica a quienes pretenden desempeñar un oficio sin los instrumentos adecuados.	Poco usado
Cual más cual menos, todos por qué callar tenemos	Nadie se libra de haber cometido un error o falta, por lo que no debemos excedernos en la censura de los demás.	Poco usado
Cuando el gato no está, los ratones bailan	Alude al daño que ocasiona la ausencia de un superior, pues, cuando falta la cabeza de una casa o comunidad, quienes dependen de ella se toman bastantes libertades. Puede aplicarse, en general, a lo arriesgado que resulta bajar la guardia.	Poco usado
Cuando el grajo vuela bajo, hace un frío del carajo	Se emplea para afirmar que hace mucho frío. El vuelo de escasa altura de algunas aves es indicio de bajas temperaturas.	Poco usado
Cuando marzo mayea, mayo marcea	Señala que, si en marzo hace buen tiempo, hará mal tiempo en mayo. Se aplica también este refrán cuando el clima no responde al patrón habitual y hace calor cuando aún no es propiamente su tiempo, o también se dice para indicar que probablemente puede hacer frío cuando no lo esperemos.	Poco usado
Cuando te dieren el anillo, pon el dedillo	Se recomienda aprovechar la ocasión favorable cuando se presenta, en este caso, la ocasión de casarse.	Poco usado
Dame pan, y dime tonto	Puede emplearse con una intención justificadora para referirse a quien recibe beneficios sin importarle las críticas, si la recompensa merece la pena.	Poco usado
Dar al César lo que es del César y a Dios lo que es de Dios	Conviene dar a cada uno lo que corresponde.	Poco usado
De aquellos polvos vienen estos lodos	La mayor parte de los males que se padecen son la consecuencia de descuidos, errores o desórdenes previos, e incluso de hechos aparentemente poco importantes.	Poco usado
De desagradecidos está el infierno lleno	Recrimina la ingratitud de ciertas personas.	Poco usado
De donde no hay no se puede sacar	Respuesta o comentario a la vista de la evidente carencia de algo. Se suele emplear para aludir a alguien poco inteligente.	Poco usado
De fuera vendrá quien de casa nos echará	Advierte que nadie está seguro en su puesto y que, con frecuencia, el recién llegado desbanca a los que ya estaban, porque, aprovechándose de su confianza, quieren disponer por encima de su superior.	Poco usado
De grandes cenas están las sepulturas llenas	Recrimina los abusos alimenticios, tan dañinos para la salud.	Poco usado
De hombres es errar; de bestias, en el error perseverar	Si bien resulta normal equivocarnos, no debemos persistir en ideas o acciones perjudiciales o erróneas.	Poco usado
De ilusión también se vive	Con esta frase se apostilla las esperanzas que mantienen la ilusión que no siempre se cumple. Se trata de una frase consolatoria empleada cuando la realidad no ha proporcionado lo que anhelamos.	Poco usado
Del amor al odio hay un paso	Resulta fácil pasar de uno a otro, cuando la relación rota ya sea amorosa o amistosa desemboca en una relación de odio.	Poco usado
De la panza, sale la danza	Cuando se ha saciado el apetito, el ánimo está alegre.	Poco usado
Del mal, el menos	Cuando se sufre un descalabro, hay que intentar perder lo menos posible. También se emplea para indicar conformidad porque la desgracia acaecida no es tan grande como se temía.	Poco usado
De lo que se come se cría	El refrán apunta a que uno es lo que come. Suele emplearse irónicamente.	Poco usado
De los amigos me guarde Dios, que de los enemigos me guardo yo	La falsa amistad puede ser más peligrosa que la maldad de un enemigo porque nos pilla desprevenidos.	Poco usado
De los cuarenta para arriba, no te mojes la barriga	Se recomienda ser prudentes cuando uno ya es mayor.	Poco usado
Del viejo, el consejo	Por su experiencia de la vida la persona de edad es quien mejor puede dar consejos. En las variantes, se añade la figura del rico, del poderoso que puede ayudar a los más necesitados.	Poco usado
Después de comer, ni un sobre leer	Advierte lo perjudicial que resulta realizar un esfuerzo mental inmediatamente después de haber comido.	Poco usado
Después de la leche, nada eches	Recomendación dietética para evitar que la leche siente mal y puedan producirse vómitos.	Poco usado
Dijo la sartén a la caldera: 'Quítate allá, ojinegra'	Recrimina a las personas igual de ruines que se echan en cara sus defectos. También se aplica a quienes poseen defectos y vicios y critican faltas menores en otros.	Poco usado
Dinero llama dinero	Da a entender el poder del dinero, que facilta aumentar su caudal a quien lo tiene. Con medios para emprender algo, bien sea dinero en efectivo o bienes de valor, se pueden obtener más beneficios o lograr mediante tratos condiciones mejores que otros.	Poco usado
Dios da el frío conforme la ropa	Enseña que Dios ayuda de acuerdo con la necesidad.	Poco usado
Divide y vencerás	Para salir airoso de un problema o una situación difícil, lo mejor es tratar de conseguir metas intermedias, ir poco a poco o adoptar la estrategia de fragmentar la dificultad	Poco usado
Donde hubo fuego, siempre quedan rescoldos	Algo persiste de un enfado o de un afecto del pasado, especialmente si es agradable. Este refrán también da a entender que, aunque se haga de forma oculta las obras ilícitas, siempre queda algún rastro que las descubre.	Poco usado
Donde no hay harina, todo es mohína	La pobreza suele provocar irritación y disputas en la familia.	Poco usado
Dos es compañía, tres es multitud	Se dice cuando es preferible limitar el número de personas para conseguir que reine la concordia. Se aplica a los negocios, porque resulta más fácil que hayan pocos socios a muchos, por la discordancia en los distintos pareceres.	Poco usado
Dos no riñen, si uno no quiere	Cuando hay deseo de paz, no se entablan discordias, por lo que se recomienda calma.	Poco usado
Dos pájaros en una espiga hacen mala compañía	El mando no suele compartirse. No es fácil compartir ni coincidir en un parecer, de ahí que la convivencia y los negocios de varios socios frecuentemente den lugar a disensiones y hasta a la ruptura.	Poco usado
El aceite de oliva todo mal quita	Alaba las excelencias del aceite de oliva, a efectos dietéticos y para preparados medicinales.	Poco usado
El amor todo lo iguala	Con amor se allanan las dificultades.	Poco usado
El bien no es conocido hasta que es perdido	Enseña que sólo apreciamos algo que poseemos, en especial la buena suerte o las posesiones, cuando falta o se aleja de nuestro lado.	Poco usado
El casado, casa quiere	Resulta conveniente que cada matrimonio viva en su casa de modo independiente, sin compartirla con otra pareja.	Poco usado
El enamorado y el pez, frescos han de ser	Establece semejanza entre el pretendiente y el pescado para alimentarse. Es preferible el joven al resabiado en otros galanteos. En sentido general, alude a lo agradable que resulta la novedad.	Poco usado
El hábito hace al monje	Se alude al poder de las apariencias, en las ocasiones en las que el adorno y el aseo ocultan parte de los defectos físicos de alguien. En este caso, se alude también al interior de la persona, a su intención, estado, etc.	Poco usado
El hombre es el único animal que tropieza dos veces en la misma piedra	El ser humano no siempre sabe discernir confome a la razón y por esa causa no aprende de la experiencia y vuelve a equivocarse en una situación semejante.	Poco usado
El hombre es fuego; la mujer, estopa; llega el diablo y sopla	Alude al riesgo existente en la demasiada familiaridad o el trato frecuente entre hombres y mujeres, por la fragilidad humana.	Poco usado
El hombre es un lobo para el hombre	Se refiere a la crueldad humana o al hecho de que, en ocasiones, nuestros peores enemigos son nuestros semejantes.	Poco usado
El huésped y el pez, a los tres días hiede	La permanencia prolongada de un huésped causa fastidio y trastorna el ritmo de la casa.	Poco usado
El infierno está empedrado de buenas intenciones	De nada sirven los buenos propósitos si no van acompañados de las obras. Se emplea con sentido irónico para criticar a quien incumple su palabra.	Poco usado
El mejor amigo, un perro	La fidelidad de este animal lo hace deseable como animal doméstico.	Poco usado
El mejor escribano echa un borrón	Se emplea para excusar la falta cometida por primera vez, en especial por quien es muy hábil.	Poco usado
El miserable y el pobre lo pagan doble	 	Poco usado
El poeta nace, no se hace	El don de la poesía es en gran parte innato, pues no se adquiere con el trabajo sino que es fruto del genio. En general, se aplica a las artes que requieren poseer un don para ello.	Poco usado
El que algo teme, algo debe	Quien tiene la conciencia tranquila duerme o descansa con total tranquilidad. Se dice de quien no puede dormir por algún motivo o sin motivo aparente. También se aplica a quien se oculta para evitar represalias de la persona a quien ha podido perjudicar.	Poco usado
El que mucho corre, pronto para	Recomienda no actuar con precipitación sino saber administrar las fuerzas y terminar lo que nos proponemos.	Poco usado
El que quiera peces que se moje el culo	Da a entender que hay que sacrificarse y trabajar para conseguir algo, ya sea un bien material o espiritual.	Poco usado
El que regala bien vende si el que recibe lo entiende	Enseña que un obsequio o atención facilta la venta de algo o propicia la reacción favorable de otra persona, pero no todo el mudno sabe o quiere darse cuenta de tal gesto, quizá  porque ven un fin interesado.	Poco usado
El que rompe, paga	Quien hace un daño debe responsabilizarse de ello y atenerse a las consecuencias. Se emplea cuando alguien comete un estropicio o un perjuicio.	Poco usado
El que tiene un tío en Alcalá, ni tiene tío ni tiene ná	Alude a quien se jacta de tener algún pariente acomodado que no se acuerda de él por vivir lejos o por cualquier otro motivo.	Poco usado
El que va para martillo, del cielo le caen clavos	Alude a la fuerza del destino. Cuando el destino nos proporciona una suerte, Dios velará porque se cumpla.	Poco usado
En arca abierta, el justo peca	Dada la fragilidad humana, no debe haber descuidos que favorezcan los delitos ni dar facilidades para cometer un delito o caer en la tentación.	Poco usado
En cada tierra su uso	Conviene adaptarse a los usos y costumbres del lugar donde uno viva o adonde uno vaya.	Poco usado
En casa del pobre, dura poco la alegría	Alude a la vida desastrosa de quienes no poseen los suficientes medios económicos. Se trata de una creencia fatalista por la que los desgraciados no mejoran de suerte.	Poco usado
En casa llena, presto se guisa la cena	Donde hay abundancia fácilmente se improvisa una comida o se salva una dificultad.	Poco usado
En comunidad, no muestres tu habilidad	No siempre resulta conveniente que los demás se enteren de lo que sabemos hacer bien, pues pueden pretender abusar de las habilidades.	Poco usado
En febrero busca la sombra el perro	A pesar de que En febrero, un día malo y otro bueno, el sol puede tener fuerza algunos días, por lo que apetece el frescor de la sombra.	Poco usado
En la mesa de San Francisco, donde comen cuatro comen cinco	Se emplea para señalar que, cuando hace falta, se debe repartir lo que se tiene. También se dice para convencer a alguien para que se quede a comer, aun cuando no se la esperaba.	Poco usado
En la mesa y en el juego, se conoce al caballero	En situaciones como la comida o el juego, se reconoce a las personas con educación y con mesura.	Poco usado
En la mucha necesidad, se conoce al amigo de verdad	En los momentos difíciles se muestra la auténtica amistad.	Poco usado
En Navidad, al balcón; en Pascua, al fogón	Los imprevisibles cambios de tiempo dan lugar en ocasiones a que un tímido sol luzca en diciembre y, sin embargo, tras la Semana Santa, esto es en la Pascua Florida o de Resurrección, vuelva el frío.	Poco usado
En su casa, hasta el culo descansa	Alude a la tranquilidad que se siente al estar en un lugar conocido.	Poco usado
Entre col y col, lechuga	Originariamente alude a que los hortelanos alternan diferentes productos en las eras de su huerta. Esta idea de alternancia ha hecho que se aplique también este refrán cuando se produce una alternancia de las cosas buenas con otras menos buenas. Del mismo modo, se utiliza en las ocasiones en que conviene variar de vez en cuando para no llegar a cansarse de algo. Se dice, además, si nos sentimos engañados en una compra, cuando nos han mezclado productos de diferente calidad.	Poco usado
Entre padres y hermanos, no metas las manos	Recomienda no intervenir en las discusiones entre parientes, porque ellos pueden reconciliarse con facilidad; pero quien ha tratado de mediar con frecuencia pierde la amistad de algunos o de todos.	Poco usado
Entre santa y santo, pared de cal y canto	Recomienda extremar la prudencia en las ocasiones en que concurren personas de diferente sexo, incluso si se trata de personas de probada virtud o consagradas a Dios, pues puede correr peligro su castidad.	Poco usado
Entre todos la mataron y ella sola se murió	En ocasiones se achaca a una sola persona o a una única causa el daño producido por muchas, un daño que ya no se puede remediar. Se emplea cuando nadie desea asumir la parte que le corresponde de responsabilidad de algún suceso infausto, en cuyo resultado han contribuido varios factores.	Poco usado
Éramos pocos, y parió la abuela	Se emplea cuando hay demasiadas personas en un lugar y llegan más. En un sentido más amplio, se aplica cuando hay exceso de algo malo y todavía aumenta en perjuicio de uno.	Poco usado
Es la gota que desborda el vaso	Cuando una situación ha ido empeorando, llega un punto en que estalla, aunque parezca que se debe a una causa insignificante.	Poco usado
Gallina vieja hace buen caldo	Se trata de un refrán gastronómico que, empleado en sentido más general, puede referirse a las cosas de calidad y a los beneficios que conlleva usarlas.	Poco usado
Gallo que no canta, algo tiene en la garganta	Cuando alguien no habla en una conversación se debe a que teme por algo que le afecta.	Poco usado
Gato con guantes no caza ratones	Para cada tarea hay que contar con los medios necesarios y no pretender refinamientos impropios e inútiles, más aún cuando no se está acostumbrado a ellos.	Poco usado
Hablando se entiende la gente	Recomienda establecer cierta confianza para poder entablar una conversación o explicar con franqueza los detalles de algo.	Poco usado
Hasta el cuarenta de mayo no te quites el sayo	Se recomienda permanecer abrigado hasta estar seguro de que ha desaparecido el tiempo frío.	Poco usado
Hasta el rabo, todo es toro	Procedente de la jerga taurina, advierte que nada debe considerarse rematado hasta que no llegue su final. Por eso, no hay que confiarse sino estar preparado para alguna sorpresa o imprevisto, como el torero que piensa que el astado ya ha recibido bastante castigo cuando la verdad es que puede revolverse inesperadamente y darle una cornada.	Poco usado
Hay más días que longanizas	Recomienda saber esperar la situación propicia para actuar, porque habrá alguna más adecuada que la situación actual. También aconseja reservar provisiones del gasto cotidiano.	Poco usado
Hermano, bebe, que la vida es breve	Se emplea para animar a gozar de los placeres de la vida cuando todavía hay ocasión.	Poco usado
Hijo no tenemos y nombre le ponemos	Recrimina a los que disponen de antemano de las cosas que no tienen seguras.	Poco usado
La caridad bien entendida empieza por uno mismo	Antes de pensar en las necesidades de los demás, uno debe atender sus propias necesidades.	Poco usado
La curiosidad mató al gato	Se emplea cuando alguien se interesa demasiado por conocer todos los detalles de un tema.	Poco usado
La experiencia es la madre de la ciencia	El uso y el conocimiento práctico juegan un papel muy importante en la enseñanza.	Poco usado
La fe mueve montañas	Ensalza el poder de la seguridad que da la fe.	Poco usado
La ignorancia de la ley no excusa su cumplimiento	Exhorta a conocer y cumplir las leyes.	Poco usado
La mujer del César, además de ser honesta, debe parecerlo	 	Poco usado
La mujer y el vino sacan al hombre de tino	Aconseja evitar los excesos de la bebida y la lujuria.	Poco usado
La perseverancia todo lo alcanza	Con empeño constante, se alcanza lo que uno se proponga.	Poco usado
Las armas de fuego, cuanto más lejos, mejor	Advierte de la peligrosidad de las armas de fuego si las manejas alguien inexperto o si su uso lleva a las consiguientes desgraciadas consecuencias.	Poco usado
Las malas noticias vuelan	Se aplica cuando las malas noticias se difunden con mayor rapidez que las buenas.	Poco usado
Las mañanitas de abril son muy dulces de dormir	Alude al tiempo que suele hacer en el mes de abril. Se dice porque «crece entonces la sangre, con que se humedece el cerebro, y causa sueño» (Autoridades, «abril»).	Poco usado
Las palabras vuelan, y lo escrito permanece	Recomienda poner por escrito cualquier acuerdo establecido con otra persona, por ser la forma más eficaz de demostrar que tal acuerdo existe. Advierte, pues, contra quienes no cumplen su palabra.	Poco usado
La verdad es amarga	En muchas ocasiones, no resulta agradable escuchar la verdad, por lo que, a veces, se prefiere encubrirla e incluso sustituirla con una mentira.	Poco usado
Libro cerrado, no saca letrado	De nada sirven los libros, si no se los lee ni estudia y sólo sirven para adornar la estantería. Por eso, tener muchos libros no es garantía de haberlos leído ni asimilado.	Poco usado
Libro prestado, libro perdido	Se emplea para advertir de que no siempre se recupera lo que se presta.	Poco usado
Lo bien hecho, bien parece	Elogia la calidad de lo que está bien acabado o realizado con tiempo. Por eso, muestra sus características positivas.	Poco usado
Lobo a lobo no se muerden	Las personas con intereses idénticos disimulan mutuamente sus defectos.	Poco usado
Lo olvidado, ni agradecido ni pagado	Se dice cuando uno se da cuenta de que no le van a devolver algo que ha prestado o un favor que ha hecho, porque el tiempo provoca que caiga en el olvido el préstamo o el favor.	Poco usado
Lo poco agrada, lo mucho enfada	Señala que, con frecuencia, el exceso molesta incluso si se trata de algo muy agradable.	Poco usado
Lo que a unos mata, a otros sana	Se aplica cuando algo beneficia a unos y perjudica a otros.	Poco usado
Lo que bien empieza, bien acaba	Resulta de gran importancia para el buen desarrollo de un asunto o de una actividad poder contar con un buen principio.	Poco usado
Lo que es moda no incomoda	El afán por demostrar que se está al día en la moda hace olvidar las posibles molestias que pudiera causar.	Poco usado
Lo que la naturaleza da, nadie lo borrará	Resulta imposible desembarazarse completamente de sus tendencias naturales.	Poco usado
Lo que natura no da Salamanca no presta	Algunas cualidades han de ser innatas, como inteligencia, aplicación, fuerza de voluntad, perseverancia, etc.; se las puede cultivar pero no adquirir, ni siquiera asistiendo a un centro reputado como excelente.	Poco usado
Lo que no quieras para tus dientes, no lo quieras para tus parientes	Recomienda ser equitativos y no desear para los demás algo que nosotros mismos hemos rechazado por causarnos algún perjuicio o por no reportarnos provecho alguno.	Poco usado
Lo que no quieres para ti no lo quieras para mí	Recomienda a alguien que sea equitativo y no desear para nosotros lo que él mismo ha rechazado porque le causa algún perjuicio o porque no le beneficia.	Poco usado
Lo que se aprende en la cuna, siempre dura	A lo largo de la vida siempre se recuerda lo que se aprende de niño, siempre se mantienen las costumbres adquiridas en la niñez.	Poco usado
Los celos son malos consejeros	Recomienda librarse de los celos para actuar con sensatez.	Poco usado
Los dineros del sacristán, cantando se vienen, cantando se van	Lo que se ha conseguido o lo que ha llegado de un modo concreto se va del mismo modo o de forma similar.	Poco usado
Los duelos con pan, son menos	Afirma que cualquier dolor con pan se alivia. La adversidad es más llevadera y soportable si hay bienes materiales.	Poco usado
Los niños y los locos dicen las verdades	Las personas incapaces de reflexionar o de dismular, declaran lo que sienten y ven.	Poco usado
Mañanita de niebla, tarde de paseo	Se emplea en su sentido recto, cuando hay niebla por la mañana y, por la tarde, desaparece.	Poco usado
Manitas que no dais, ¿qué esperáis?	Recomienda ser generosos si deseamos que los demás lo sean con nosotros.	Poco usado
Manos frías, corazón caliente	En cuestiones de amor, lo que importa es el estado del corazón, entendido como núcleo de los sentimientos.	Poco usado
Más hace el que quiere que el que puede	Alude a la fuerza de la voluntad, pues con ella se llevan a cabo actos cuya ejecución puede parecer imposible.	Poco usado
Más mató la cena, que sanó Avicena	La cena abundante y sin moderación resulta perjudicial para la salud.	Poco usado
Más tira moza que soga	Alude al poder que ejerce en el hombre la pasión por una mujer.	Poco usado
Más vale algo que nada	No se deben despreciar las cosas pequeñas por su tamaño o escasa calidad. De mismo modo, no se debe rechazar un asunto por ser poca la ganancia, cuando la contrapartida es ningún beneficio.	Poco usado
Más vale a quien Dios ayuda que a quien mucho madruga	Recrimina a quien confía más en su diligencia que en la ayuda de Dios.	Poco usado
Más vale dar algo que prestar largo	Ante el convencimiento de que no se va a recuperar lo que se presta, resulta más conveniente darlo.	Poco usado
Más vale la salsa que los caracoles	Se emplea cuando lo principal tiene menos valor que lo accesorio.	Poco usado
Más vale llegar a tiempo que rondar un año	La mejor condición para que algo llegue a buen término es hacerlo en el momento oportuno.	Poco usado
Más vale pan con amor que gallina con dolor	Es preferible una vida humilde, pero tranquila y llena de amor, a una vida con riquezas que no se pueden disfrutar por ser causa de disgustos o por estar ausente el amor.	Poco usado
Más vale pecar por carta de más que por carta de menos	Recomienda que es preferible excederse a no llegar.	Poco usado
Más vale poco y bueno que mucho y malo	Es preferible la calidad a la cantidad, porque lo despreciable de algo bueno es preferible a lo aceptable de lo despreciable.	Poco usado
Más vale ser cabeza de ratón que cola de león	Es preferible ser el primero y mandar en una comunidad, aunque sea pequeña, que ser el último en otra mayor.	Poco usado
Más vale tener que desear	Es preferible poseer algo a pensar que algún día lo tendremos.	Poco usado
Más vale un 'toma' que dos 'te daré'	Es preferible disfrutar lo que se tiene en el presente a esperar algo mejor, pero en un futuro y la mayoría de las veces incierto.	Poco usado
Matrimonio y mortaja, del cielo bajan	Señala lo poco que sirven los propósitos humanos cuando se trata del casamiento o de la muerte.	Poco usado
Mientras hay vida, hay esperanza	Recomienda no perder la esperanza hasta el último momento, cuando se han agotado todas las posibilidades.	Poco usado
Mucho donaire causa desaire	El exceso de desenvoltura causa desprecio.	Poco usado
Muchos cocineros estropean el caldo	No conviene que intervengan muchas personas en un asunto, porque puede provocar desorden o desconcierto, al haber pareceres diversos.	Poco usado
Muerto el perro, se acabó la rabia	Si cesa la causa, termina con ella sus efectos. Se aplica a un enemigo que ya no puede hacer daño por estar muerto o, en sentido general, a cualquier persona que está causando perjuicio.	Poco usado
Mujer enferma, mujer eterna	Es común opinión que la mujer con dolencias crónicas sobrevive al marido.	Poco usado
Nada nuevo bajo el sol	Señala que lo que parece novedoso puede no serlo, ya que todo tiene su precedente.	Poco usado
Nadie deje de sembrar por miedo de gorriones	Cuando se debe hacer algo úntil y necesario, no hay que rendirse ante los contratiempos, sino todo lo contrario, hay que esforzarse por superarlos.	Poco usado
Nadie está contento con su suerte	Alude a la persona insatisfecha, que no se conforma con lo que tiene.	Poco usado
Nadie está obligado a hacer más de lo que sabe y puede	Recomienda conocer las propias limitaciones para no aspirar a realizar cosas imposibles.	Poco usado
Nadie puede ser juez y parte	Resulta muy difícil e impsoible ser imparcial, si uno es parte afectada.	Poco usado
Nadie puede servir a dos señores	Advierte de la imposibilidad de tratar de ser leal a dos intereses totalmente opuestos.	Poco usado
Ni en burlas ni en veras con tu amo partas peras	No conviene tratar con familiaridad a los superiores.	Poco usado
Ni mandes a quien mandó, ni sirvas a quien sirvió	Advierte de los inconvenientes que puede causar en los ánimos los cambios de fortuna, en especial en quienes han subido de categoría social, porque son poco asequibles.	Poco usado
Ninguna maravilla dura más de tres días; luego con otra se olvida	Resulta difícil que algo mantenga su atractivo en interés iniciales.	Poco usado
Ningún jorobado ve su joroba	Recrimina a quien critica los defectos de los demás cuando los suyos son iguales o, incluso, mayores.	Poco usado
Ni pidas a quien pidió, ni sirvas a quien sirvió	El pedigüeño o el servidor sabe los trucos de quien ha mendigado o servido y puede tener deseos de vengarse de humillaciones pasadas. En un sentido más amplio, este refrán alude al cambio de ánimo que se produce en la persona que ha sufrido un cambio de estado o de fortuna.	Poco usado
No basta ser bueno sino parecerlo	Recomienda ser realmente bondadoso.	Poco usado
No cantan dos gallos en un gallinero	Denota lo mal que se avienen quienes quieren imponer su voluntad al mismo tiempo.	Poco usado
No cantes gloria hasta el fin de la victoria	Conviene estar seguro de haber conseguido algo antes de difundirlo.	Poco usado
No comer por haber comido no es tiempo perdido	Comentario que se hace ante quien declina comer por haber comido ya.	Poco usado
No dejes lo ganado por lo que has de ganar	Aconseja conformarse con lo que ya se tiene y no arriesgarlo por algo quizá mejor, pero totalmente incierto.	Poco usado
No echéis margaritas a los cerdos	Los necios y quienes no están acostumbrados al lujo ni a cierto refinamiento no saben apreciarlo.	Poco usado
No es lo mismo ser que parecer	Denota la gran distancia existente entre lo que uno quiere ser y lo que uno es realmente.	Poco usado
No es más limpio el que más limpia, sino el que menos ensucia	Advertencia para tener cuidado de no ensuciar y evitar así tener que limpiar.	Poco usado
No es más rico quien más tiene sino el que menos necesita	La felicidad no se alcanza con una ambición desmesurada.	Poco usado
No hay atajo sin trabajo	Con frecuencia, es preferible ir por la vía principal, porque suelen ser más penosas las desviaciones que se toman para acortar el camino. En un sentido más general, este refrán afirma que sin esfuerzo resulta imposible obtener lo que se desea en poco tiempo.	Poco usado
No hay boda sin tornaboda	Conviene ser agradecido con quien nos convidó o hizo algún beneficio.	Poco usado
No hay don sin din	Alude al poder del dinero.Hasta tal punto es poderoso que se debe contar con él para lograr algo.	Poco usado
No hay felicidad completa	No se puede quedar plenamente satisfechos, pues todo tiene una parte alegre y otra triste.	Poco usado
No hay humo sin fuego	Si se ven los efectos, en algún lugar estará la causa que lo origina.	Poco usado
No hay novia fea	El día de la boda la novia se pone sus mejores galas para estar lo mejor posible y disimular sus defectos.	Poco usado
No hay olla tan fea que no tenga su cobertera	Cualquiera o cualquier cosa, por muy despreciable que pueda ser, será útil para algo. Se aplica con frecuencia a asuntos amorosos para afirmar que toda persona tiene su alma gemela.	Poco usado
No hay peor astilla que la de la misma madera	Con frecuencia no se llevan bien las personas de carácter, condición u oficio similar. Por otra parte, no hay peor enemigo que un amigo, un familiar o alguien del mismo oficio.	Poco usado
No hay pocos años feos, ni muchos hermosos	Alude a la relación existente entre juventud y belleza.	Poco usado
No hay que mentar la soga en casa del ahorcado	Recomienda no introducir en la conversación palabras que recuerden algo violento o molesto para alguno de los presentes.	Poco usado
No hay tesoro como la salud	Recuerda que la salud es lo más importante, pues sin ella no hay nada.	Poco usado
No la hagas y no la temas	Si no se realiza una mala acción, no hay que esperar castigo alguno.	Poco usado
No ofende quien quiere sino quien puede	En ocasiones no es suficiente con la voluntad sino que se debe contar con los medios suficientes, como sucede cuando se pretende hacer daño a alguien.	Poco usado
No se ganó Zamora en una hora	Para conseguir algo importante y arduo, hace falta tiempo y esfuerzo.	Poco usado
No se puede estar en misa y repicando	Enseña que no se pueden hacer a un tiempo y con perfección dos cosas muy diferentes, por ser incompatibles la mayoría de las veces.	Poco usado
No se puede hacer tortilla sin romper los huevos	Alude al esfuerzo que se requiere para alcanzar lo que se desea.	Poco usado
No se puede satisfacer y agradar a todos	Resulta imposible dar gusto a todos, pues poseen opiniones y preferencias muy distintas entre sí.	Poco usado
No todo sale como uno quiere	Advierte que hay situaciones que llevan al fracaso en vez de al éxito esperado.	Poco usado
Nunca des consejo al que no te lo pide	Recomienda no pretender ser más entendido que otros y abstenerse de aconsejar salvo cuando expresamente se lo soliciten.	Poco usado
Nunca falta un roto para un descosido	La persona pobre y desvalida encuentra alivio y consuelo en quienes padecen una situación similar. Se dice también para aludir a la unión entre personas de igual naturaleza o categoría.	Poco usado
Obra empezada, medio acabada	Recomienda alejar la pereza iniciando el trabajo, ya que, por lo general, la mayor dificultad en la realización de algo es el principio.	Poco usado
Otro vendrá que bueno me hará	Puede que ciertas personas o cosas consideradas hoy malas, sean tenidas por buenas, al compararlas con otras peores. Suele decirse cuando alguien deja un lugar, un puesto de trabajo, generalmente no por su propia voluntad.	Poco usado
Pan con pan, comida de tontos	En sentido recto, se dice para quien come mucho pan. En sentido general, rechaza la unión de lo que forma un conjunto monótono.	Poco usado
Para muestra, un botón	Denota que no resulta necesario mostrarlo o enseñarlo todo, ya que de un ejemplo se puede deducir fácilmente todo lo que falta por descubrir.	Poco usado
